Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value
Afghanistan,2011,Female,15-24 year olds,Percent,32.11322302
Afghanistan,2011,All genders,15-24 year olds,Percent,46.99005082
Afghanistan,2011,Male,15-24 year olds,Percent,61.87906895
Afghanistan,1979,Male,15-24 year olds,Percent,45.79601619
Afghanistan,1979,Female,15-24 year olds,Percent,11.14279802
Afghanistan,1979,All genders,15-24 year olds,Percent,30.0663526
Albania,2011,All genders,15-24 year olds,Percent,98.79119016
Albania,2011,Female,15-24 year olds,Percent,98.85624013
Albania,2011,Male,15-24 year olds,Percent,98.73135687
Albania,2008,Male,15-24 year olds,Percent,98.53712498
Albania,2008,Female,15-24 year olds,Percent,99.12132159
Albania,2008,All genders,15-24 year olds,Percent,98.83120696
Albania,2001,Female,15-24 year olds,Percent,99.49808188
Albania,2001,Male,15-24 year olds,Percent,99.36845559
Albania,2001,All genders,15-24 year olds,Percent,99.43515144
Algeria,2006,Female,15-24 year olds,Percent,89.13823946
Algeria,2006,Male,15-24 year olds,Percent,94.38147977
Algeria,2006,All genders,15-24 year olds,Percent,91.77964052
Algeria,2002,Male,15-24 year olds,Percent,94.05754235
Algeria,2002,All genders,15-24 year olds,Percent,90.13720962
Algeria,2002,Female,15-24 year olds,Percent,86.13399231
Algeria,1987,Male,15-24 year olds,Percent,86.23008992
Algeria,1987,All genders,15-24 year olds,Percent,74.32726689
Algeria,1987,Female,15-24 year olds,Percent,62.21148161
American Samoa,1980,All genders,15-24 year olds,Percent,97.65421373
American Samoa,1980,Male,15-24 year olds,Percent,97.88861689
American Samoa,1980,Female,15-24 year olds,Percent,97.44365036
Angola,2012,Female,15-24 year olds,Percent,66.36176
Angola,2012,All genders,15-24 year olds,Percent,73.00776
Angola,2012,Male,15-24 year olds,Percent,79.75085
Angola,2001,All genders,15-24 year olds,Percent,72.19449066
Angola,2001,Male,15-24 year olds,Percent,83.77693283
Angola,2001,Female,15-24 year olds,Percent,63.18211703
Anguilla,1984,Male,15-24 year olds,Percent,99.12408759
Anguilla,1984,All genders,15-24 year olds,Percent,99.11373708
Anguilla,1984,Female,15-24 year olds,Percent,99.10313901
Argentina,2012,Female,15-24 year olds,Percent,99.42428
Argentina,2012,All genders,15-24 year olds,Percent,99.23841
Argentina,2012,Male,15-24 year olds,Percent,99.0579
Argentina,2001,All genders,15-24 year olds,Percent,98.9166583
Argentina,2001,Male,15-24 year olds,Percent,98.70789783
Argentina,2001,Female,15-24 year olds,Percent,99.12767253
Argentina,1991,Male,15-24 year olds,Percent,98.06549035
Argentina,1991,All genders,15-24 year olds,Percent,98.3046407
Argentina,1991,Female,15-24 year olds,Percent,98.54020866
Argentina,1980,Female,15-24 year olds,Percent,97.30247985
Argentina,1980,All genders,15-24 year olds,Percent,96.88254343
Argentina,1980,Male,15-24 year olds,Percent,96.45921911
Armenia,2012,Male,15-24 year olds,Percent,99.68284
Armenia,2012,Female,15-24 year olds,Percent,99.8222
Armenia,2012,All genders,15-24 year olds,Percent,99.74541
Armenia,2001,All genders,15-24 year olds,Percent,99.80728398
Armenia,2001,Female,15-24 year olds,Percent,99.86166942
Armenia,2001,Male,15-24 year olds,Percent,99.75234511
Armenia,1989,Male,15-24 year olds,Percent,99.90936706
Armenia,1989,Female,15-24 year olds,Percent,99.91057173
Armenia,1989,All genders,15-24 year olds,Percent,99.90996264
Aruba,2010,Female,15-24 year olds,Percent,99.32309724
Aruba,2010,All genders,15-24 year olds,Percent,99.13841245
Aruba,2010,Male,15-24 year olds,Percent,98.96573016
Aruba,2000,Male,15-24 year olds,Percent,98.88175985
Aruba,2000,All genders,15-24 year olds,Percent,99.02641305
Aruba,2000,Female,15-24 year olds,Percent,99.16637105
Azerbaijan,2012,Female,15-24 year olds,Percent,99.91766643
Azerbaijan,2012,All genders,15-24 year olds,Percent,99.93674889
Azerbaijan,2012,Male,15-24 year olds,Percent,99.95500056
Azerbaijan,2011,Male,15-24 year olds,Percent,99.95602946
Azerbaijan,2011,All genders,15-24 year olds,Percent,99.94410285
Azerbaijan,2011,Female,15-24 year olds,Percent,99.9317639
Azerbaijan,2010,Female,15-24 year olds,Percent,99.93333333
Azerbaijan,2010,All genders,15-24 year olds,Percent,99.95059831
Azerbaijan,2010,Male,15-24 year olds,Percent,99.96745498
Azerbaijan,2009,Male,15-24 year olds,Percent,99.95678479
Azerbaijan,2009,All genders,15-24 year olds,Percent,99.95129607
Azerbaijan,2009,Female,15-24 year olds,Percent,99.9457877
Azerbaijan,2007,Female,15-24 year olds,Percent,100
Azerbaijan,2007,Male,15-24 year olds,Percent,100
Azerbaijan,2007,All genders,15-24 year olds,Percent,100
Azerbaijan,1999,All genders,15-24 year olds,Percent,99.88609668
Azerbaijan,1999,Male,15-24 year olds,Percent,99.87033569
Azerbaijan,1999,Female,15-24 year olds,Percent,99.9014917
Bahrain,2010,All genders,15-24 year olds,Percent,98.16359609
Bahrain,2010,Male,15-24 year olds,Percent,98.61991147
Bahrain,2010,Female,15-24 year olds,Percent,97.58233928
Bahrain,2001,Female,15-24 year olds,Percent,97.25061065
Bahrain,2001,Male,15-24 year olds,Percent,96.82707924
Bahrain,2001,All genders,15-24 year olds,Percent,97.0247105
Bahrain,1991,Female,15-24 year olds,Percent,96.57877083
Bahrain,1991,All genders,15-24 year olds,Percent,96.9381052
Bahrain,1991,Male,15-24 year olds,Percent,97.25866593
Bahrain,1981,Male,15-24 year olds,Percent,89.69038285
